Sample,insertion_1,insertion_2,insertion_3,insertion_4,insertion_5,insertion_6,insertion_7,insertion_8,insertion_9,insertion_10,insertion_11,insertion_12,insertion_13,insertion_14,insertion_15,insertion_16,insertion_17,insertion_18,insertion_19,insertion_20,insertion_21,insertion_22
SRR4176676,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1
SRR5750008,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1
SRR5929605,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1
SRR6317337,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1
SRR6317347,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1
